风机名,状态码,状态码描述,激活时间,复位时间
10,50002,液压油泵马达保护,2021-11-21 10:55:17:344,2021-11-21 11:08:39:624
10,270005,机舱冷却风扇保护,2021-11-21 09:37:21:316,2021-11-21 11:08:39:624
10,80072,齿轮箱润滑油泵马达保护,2021-11-21 09:37:09:836,2021-11-21 11:08:39:624
10,80080,齿轮箱冷却水泵保护,2021-11-21 09:37:09:316,2021-11-21 11:08:39:624
10,60005,手动偏航,2021-11-21 09:19:24:874,2021-11-21 11:08:39:624
10,910000,塔底停止按钮激活,2021-11-21 09:18:50:014,2021-11-21 11:08:39:625
10,290060,主轴承润滑故障(分油器堵塞),2021-11-20 23:27:00:699,2021-11-20 23:27:30:719
10,300907,桨叶轴承润滑油位低,2021-11-20 15:13:12:738,2021-11-21 11:08:39:624
10,300908,桨叶齿轮润滑油位低,2021-11-20 15:13:12:738,2021-11-21 11:08:39:624
10,300907,桨叶轴承润滑油位低,2021-11-20 15:00:10:656,2021-11-20 15:03:12:718
10,300908,桨叶齿轮润滑油位低,2021-11-20 15:00:10:656,2021-11-20 15:03:12:718
10,300115,变桨轴2后备电源欠电压,2021-11-20 14:46:39:336,2021-11-20 14:46:43:516
10,300114,变桨轴1后备电源欠电压,2021-11-20 14:46:39:336,2021-11-20 14:46:43:516
10,300116,变桨轴3后备电源欠电压,2021-11-20 14:46:39:336,2021-11-20 14:46:43:516
10,300116,变桨轴3后备电源欠电压,2021-11-20 14:45:37:476,2021-11-20 14:46:39:316
10,300115,变桨轴2后备电源欠电压,2021-11-20 14:45:37:476,2021-11-20 14:46:39:316
10,300114,变桨轴1后备电源欠电压,2021-11-20 14:45:37:476,2021-11-20 14:46:39:316
10,300115,变桨轴2后备电源欠电压,2021-11-20 14:45:36:916,2021-11-20 14:45:37:456
10,300116,变桨轴3后备电源欠电压,2021-11-20 14:45:36:916,2021-11-20 14:45:37:456
10,300114,变桨轴1后备电源欠电压,2021-11-20 14:45:36:916,2021-11-20 14:45:37:456
10,300114,变桨轴1后备电源欠电压,2021-11-20 14:45:36:336,2021-11-20 14:45:36:896
10,300115,变桨轴2后备电源欠电压,2021-11-20 14:45:36:336,2021-11-20 14:45:36:896
10,300116,变桨轴3后备电源欠电压,2021-11-20 14:45:36:336,2021-11-20 14:45:36:896
10,300114,变桨轴1后备电源欠电压,2021-11-20 14:45:35:656,2021-11-20 14:45:36:316
10,300116,变桨轴3后备电源欠电压,2021-11-20 14:45:35:656,2021-11-20 14:45:36:316
10,300115,变桨轴2后备电源欠电压,2021-11-20 14:45:35:656,2021-11-20 14:45:36:316
10,300116,变桨轴3后备电源欠电压,2021-11-20 14:45:35:076,2021-11-20 14:45:35:636
10,300114,变桨轴1后备电源欠电压,2021-11-20 14:45:35:076,2021-11-20 14:45:35:636
10,300115,变桨轴2后备电源欠电压,2021-11-20 14:45:35:076,2021-11-20 14:45:35:636
10,300114,变桨轴1后备电源欠电压,2021-11-20 14:45:34:496,2021-11-20 14:45:35:056
10,300115,变桨轴2后备电源欠电压,2021-11-20 14:45:34:496,2021-11-20 14:45:35:056
10,300116,变桨轴3后备电源欠电压,2021-11-20 14:45:34:496,2021-11-20 14:45:35:056
10,300116,变桨轴3后备电源欠电压,2021-11-20 14:45:33:856,2021-11-20 14:45:34:476
10,300115,变桨轴2后备电源欠电压,2021-11-20 14:45:33:856,2021-11-20 14:45:34:476
10,300114,变桨轴1后备电源欠电压,2021-11-20 14:45:33:856,2021-11-20 14:45:34:476
10,300116,变桨轴3后备电源欠电压,2021-11-20 14:45:32:716,2021-11-20 14:45:33:836
10,300115,变桨轴2后备电源欠电压,2021-11-20 14:45:32:716,2021-11-20 14:45:33:836
10,300114,变桨轴1后备电源欠电压,2021-11-20 14:45:32:716,2021-11-20 14:45:33:836
10,300116,变桨轴3后备电源欠电压,2021-11-20 14:45:31:996,2021-11-20 14:45:32:696
10,300114,变桨轴1后备电源欠电压,2021-11-20 14:45:31:996,2021-11-20 14:45:32:696
10,300115,变桨轴2后备电源欠电压,2021-11-20 14:45:31:996,2021-11-20 14:45:32:696
10,300116,变桨轴3后备电源欠电压,2021-11-20 14:45:26:716,2021-11-20 14:45:31:976
10,300114,变桨轴1后备电源欠电压,2021-11-20 14:45:26:716,2021-11-20 14:45:31:976
10,300115,变桨轴2后备电源欠电压,2021-11-20 14:45:26:716,2021-11-20 14:45:31:976
10,300116,变桨轴3后备电源欠电压,2021-11-20 14:45:26:416,2021-11-20 14:45:26:696
10,300114,变桨轴1后备电源欠电压,2021-11-20 14:45:26:416,2021-11-20 14:45:26:696
10,300115,变桨轴2后备电源欠电压,2021-11-20 14:45:26:416,2021-11-20 14:45:26:696
10,300131,变桨轴1充电回路断开,2021-11-20 14:45:26:136,2021-11-20 14:45:26:396
10,300115,变桨轴2后备电源欠电压,2021-11-20 14:45:26:136,2021-11-20 14:45:26:396
10,300132,变桨轴2充电回路断开,2021-11-20 14:45:26:136,2021-11-20 14:45:26:396
